timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614543665524,38,newOrderForm,308,Permanent Redirect,JPetstore 1-1,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,38,0,0
1614543665539,39,signOff,308,Permanent Redirect,JPetstore 1-13,text,true,,407,811,20,20,http://petstore.octoperf.com/actions/Account.action?signoff,39,0,0
1614543665588,37,newOrderForm,308,Permanent Redirect,JPetstore 1-10,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,37,0,0
1614543665663,35,viewCatalog,308,Permanent Redirect,JPetstore 1-13,text,true,,399,798,20,20,http://petstore.octoperf.com/actions/Catalog.action,35,0,0
1614543662116,74,LogOff,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-13,,true,,806,1609,20,20,null,74,3509,0
1614543665699,83,homepage,308,Permanent Redirect,JPetstore 1-13,text,true,,399,550,20,20,http://petstore.octoperf.com/actions/Catalog.action,83,0,39
1614543665699,83,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-13,,true,,399,550,20,20,null,83,0,39
1614543665796,39,signinForm,308,Permanent Redirect,JPetstore 1-4,text,true,,410,791,20,20,http://petstore.octoperf.com/actions/Account.action?signonForm,39,0,0
1614543665212,39,Login page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-4,,true,,410,791,20,20,null,39,584,0
1614543665937,35,viewCatalog,308,Permanent Redirect,JPetstore 1-4,text,true,,399,818,20,20,http://petstore.octoperf.com/actions/Catalog.action,35,0,0
1614543666038,36,addItemToCart,308,Permanent Redirect,JPetstore 1-15,text,true,,430,843,20,20,http://petstore.octoperf.com/actions/Cart.action?addItemToCart&workingItemId=EST-6,36,0,0
1614543666345,41,newOrderForm,308,Permanent Redirect,JPetstore 1-19,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,41,0,0
